junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,time_range,speed_limit,engine_capacity_(cc),junction_detail,vehicle_type,urban_or_rural_area,road_surface_conditions,accident_severity
0,6,11,32,1,7-8,30,1396,0,9,1,1,2
1,3,8,33,7,10-11,30,1587,1,1,1,1,2
3,6,8,33,4,8-9,30,1587,3,1,1,1,2
1,3,8,30,7,22-23,30,698,1,9,1,1,2
8,3,6,47,5,14-15,30,1585,8,5,1,1,2
8,3,25,73,5,14-15,30,998,8,9,1,1,2
0,5,9,25,1,15-16,30,748,0,5,1,1,2
6,4,8,27,7,16-17,30,125,6,3,1,1,2
0,6,16,36,5,18-19,30,124,0,3,1,1,2
0,6,10,21,4,22-23,30,2148,0,9,1,1,2
0,6,10,21,4,22-23,30,2148,0,9,1,1,2
6,3,9,49,6,18-19,30,1157,6,5,1,1,2
3,3,5,26,1,22-23,30,124,3,3,1,1,2
1,3,1,37,4,8-9,30,649,1,5,2,1,2
1,3,1,37,4,8-9,30,649,1,5,2,1,2
3,5,2,49,5,17-18,30,125,3,3,1,1,2
1,3,8,41,6,9-10,30,1587,1,1,1,1,2
3,5,1,23,7,9-10,30,124,3,2,1,1,2
0,6,10,26,6,20-21,20,1497,0,9,1,1,2
0,3,4,49,5,10-11,30,2402,0,19,1,1,2
7,5,8,33,2,9-10,30,1587,7,1,1,1,2
3,5,2,40,6,20-21,30,1461,3,8,2,1,2
3,5,7,24,6,20-21,30,49,3,3,2,1,2
3,5,1,21,6,20-21,30,124,3,3,2,1,2
1,3,8,24,3,20-21,30,1587,1,1,1,1,2
3,3,8,30,2,15-16,30,1587,3,11,1,1,2
8,4,10,17,6,22-23,30,125,8,3,1,1,2
3,3,8,56,4,18-19,30,125,3,3,1,1,2
1,3,8,37,4,17-18,30,1587,1,9,1,2,2
3,3,25,30,4,16-17,30,124,3,4,1,2,2
0,6,10,46,7,22-23,30,2402,0,10,1,2,2
8,4,2,37,1,5-6,30,124,8,3,1,2,2
3,6,6,73,2,13-14,30,1198,3,9,1,1,2
6,6,8,13,3,19-20,20,1587,6,1,1,2,2
3,3,8,18,6,22-23,30,1587,3,9,1,1,2
0,6,7,48,5,7-8,30,2720,0,9,1,2,2
0,6,10,59,6,19-20,30,1497,0,9,1,2,2
3,4,8,27,6,4-5,30,1587,3,9,1,1,2
3,4,8,19,6,9-10,30,1587,3,9,1,1,2
