junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,speed_limit,engine_capacity_(cc),vehicle_type,urban_or_rural_area,road_surface_conditions,time_range,accident_severity
0,6,11,32,1,30,1396,9,1,1,7,2
1,3,8,33,7,30,1587,1,1,1,10,2
3,6,8,33,4,30,1587,1,1,1,8,2
1,3,8,30,7,30,698,9,1,1,22,2
8,3,6,47,5,30,1585,5,1,1,14,2
8,3,25,73,5,30,998,9,1,1,14,2
0,5,9,25,1,30,748,5,1,1,15,2
6,4,8,27,7,30,125,3,1,1,16,2
0,6,16,36,5,30,124,3,1,1,18,2
0,6,10,21,4,30,2148,9,1,1,22,2
0,6,10,21,4,30,2148,9,1,1,22,2
6,3,9,49,6,30,1157,5,1,1,18,2
3,3,5,26,1,30,124,3,1,1,22,2
1,3,1,37,4,30,649,5,2,1,8,2
1,3,1,37,4,30,649,5,2,1,8,2
3,5,2,49,5,30,125,3,1,1,17,2
1,3,8,41,6,30,1587,1,1,1,9,2
3,5,1,23,7,30,124,2,1,1,9,2
0,6,10,26,6,20,1497,9,1,1,20,2
0,3,4,49,5,30,2402,19,1,1,10,2
7,5,8,33,2,30,1587,1,1,1,9,2
3,5,2,40,6,30,1461,8,2,1,20,2
3,5,7,24,6,30,49,3,2,1,20,2
3,5,1,21,6,30,124,3,2,1,20,2
1,3,8,24,3,30,1587,1,1,1,20,2
3,3,8,30,2,30,1587,11,1,1,15,2
8,4,10,17,6,30,125,3,1,1,22,2
3,3,8,56,4,30,125,3,1,1,18,2
1,3,8,37,4,30,1587,9,1,2,17,2
3,3,25,30,4,30,124,4,1,2,16,2
0,6,10,46,7,30,2402,10,1,2,22,2
8,4,2,37,1,30,124,3,1,2,5,2
3,6,6,73,2,30,1198,9,1,1,13,2
6,6,8,13,3,20,1587,1,1,2,19,2
3,3,8,18,6,30,1587,9,1,1,22,2
0,6,7,48,5,30,2720,9,1,2,7,2
0,6,10,59,6,30,1497,9,1,2,19,2
3,4,8,27,6,30,1587,9,1,1,4,2
3,4,8,19,6,30,1587,9,1,1,9,2
3,4,8,59,6,30,1587,9,1,1,9,2
3,4,10,62,5,30,1242,9,1,1,20,2
3,4,10,62,5,30,1242,9,1,1,20,2
3,3,1,39,3,30,1598,9,1,1,18,2
3,6,8,18,5,30,1587,1,1,1,17,2
6,3,6,44,7,30,2148,8,1,1,0,2
8,3,1,60,3,50,12809,21,2,1,11,2
6,3,8,30,6,30,1587,9,1,2,22,2
0,6,12,22,5,30,600,5,1,1,13,2
6,3,13,40,2,30,2494,9,1,1,5,2
6,3,13,40,2,30,2494,9,1,1,5,2
6,3,8,43,2,30,1587,8,1,1,5,2
6,3,8,28,1,30,1587,9,1,1,14,2
0,3,10,65,6,30,1991,9,1,2,15,2
0,3,8,46,1,30,1587,9,1,2,0,2
3,4,8,18,6,30,1587,3,1,1,8,2
3,3,4,24,7,30,124,3,1,1,0,2
6,4,12,38,4,30,1997,19,1,1,9,2
9,4,8,21,6,30,1587,1,1,1,23,2
0,3,8,76,5,30,1587,9,1,1,15,2
3,3,9,59,2,30,1868,19,1,1,11,2
0,5,4,44,7,30,1797,8,1,1,18,2
6,5,12,25,6,30,124,3,1,1,0,2
1,3,8,30,3,30,1587,9,1,1,8,2
3,3,3,22,3,30,124,3,1,1,18,2
3,3,6,31,3,30,1598,9,1,1,18,2
3,3,8,19,5,30,1587,1,1,1,15,2
6,3,16,26,6,30,1797,9,1,1,19,2
6,3,4,21,6,30,1242,9,1,1,19,2
6,3,4,21,6,30,1242,9,1,1,19,2
6,3,4,40,6,30,1461,9,1,1,19,2
6,3,4,40,6,30,1461,9,1,1,19,2
0,3,13,28,1,30,1781,9,1,1,0,2
0,3,1,67,1,30,1997,8,1,1,0,2
3,5,6,44,6,30,1598,9,1,1,15,2
3,3,10,22,3,30,644,4,1,1,19,2
3,3,8,11,4,30,1587,1,1,2,15,2
0,3,8,80,3,30,1598,9,1,1,12,2
0,5,8,37,3,30,1587,9,1,1,17,2
3,5,8,22,5,30,1587,5,1,1,15,2
7,3,1,37,3,40,12419,21,1,2,21,2
0,5,8,50,3,20,1386,9,1,2,7,2
3,4,8,23,7,30,1587,1,1,1,17,2
0,3,12,28,3,40,1360,9,2,2,22,2
0,3,8,32,3,40,1198,9,2,2,22,2
0,6,7,28,1,20,1339,9,1,1,15,2
1,1,8,30,5,40,1587,11,1,1,15,2
1,1,8,30,5,40,1587,11,1,1,15,2
6,3,14,55,5,30,1988,9,1,1,17,2
8,6,8,64,6,20,1499,9,1,2,17,2
3,3,2,38,2,30,124,3,1,1,19,2
3,3,8,21,7,30,1587,9,1,2,13,2
3,3,8,21,1,30,1587,9,1,1,14,2
3,6,12,30,4,20,1598,9,1,1,19,2
3,6,8,15,5,20,1587,1,1,2,13,2
0,3,3,74,6,30,1591,9,1,1,18,2
0,4,8,57,7,30,1595,9,1,2,19,2
0,3,8,21,5,30,1587,9,1,2,20,2
3,3,1,47,2,30,1248,9,1,2,8,2
3,3,6,23,7,30,125,3,1,2,23,2
7,3,3,57,4,30,1596,9,1,1,16,2
3,4,16,50,4,30,650,5,1,1,15,2
3,4,16,19,3,30,599,5,1,1,16,2
3,4,16,19,3,30,599,5,1,1,16,2
3,4,6,19,3,30,1390,9,1,1,16,2
3,3,13,41,4,30,1998,9,1,2,10,2
3,3,16,85,6,30,1332,9,1,1,9,2
0,3,8,47,6,40,1587,1,1,1,13,2
0,6,15,19,4,20,973,9,1,1,19,2
0,6,15,19,4,20,973,9,1,1,19,2
3,5,3,22,7,30,1956,9,1,1,20,2
3,5,3,22,7,30,1956,9,1,1,20,2
0,6,8,41,1,20,1587,9,1,1,14,2
3,4,8,32,4,30,1587,1,1,1,16,2
6,3,8,36,1,30,1595,9,1,1,18,2
3,3,3,60,1,30,1242,9,1,1,15,2
0,3,8,38,4,30,998,9,1,1,11,2
0,3,8,38,4,30,998,9,1,1,11,2
0,3,14,20,7,30,1199,9,1,1,22,2
0,3,14,20,7,30,1199,9,1,1,22,2
3,3,10,55,6,30,1250,5,1,1,18,2
3,3,10,55,6,30,1250,5,1,1,18,2
8,6,8,61,5,30,1587,4,1,1,15,2
3,5,6,52,1,30,1598,9,1,1,18,2
3,4,8,42,1,30,1587,9,1,1,16,2
3,5,8,37,5,30,1587,9,1,1,19,2
8,6,14,30,6,30,998,9,1,2,21,2
3,5,11,40,5,30,1995,9,1,1,19,2
0,6,12,19,2,20,1299,9,1,1,19,2
3,5,16,34,3,30,1242,9,1,1,15,2
3,4,8,50,7,30,1587,1,1,1,17,2
3,3,4,28,2,40,125,3,2,1,14,2
9,5,8,28,6,30,1587,1,1,1,13,2
3,3,3,17,4,30,1242,9,1,1,14,2
3,3,4,50,5,30,125,3,1,1,18,2
0,6,1,72,2,30,1598,9,1,2,7,2
0,6,2,51,2,30,2987,9,1,2,7,2
6,6,8,30,4,20,1587,9,1,1,15,2
0,6,14,27,7,30,600,5,1,1,8,2
0,3,8,30,5,30,1796,9,1,2,7,2
6,3,8,50,7,40,1595,9,1,1,18,2
6,3,8,50,7,40,1595,9,1,1,18,2
6,3,8,50,7,40,1595,9,1,1,18,2
3,6,7,58,4,30,1598,9,1,2,15,2
6,3,8,30,6,30,1587,9,1,1,23,2
1,3,8,28,3,30,1587,1,1,1,18,2
3,4,5,38,3,30,1600,9,1,1,13,2
3,4,8,81,3,30,1587,9,1,1,10,2
6,5,10,55,7,30,1998,9,1,1,20,2
3,6,8,37,5,30,1587,9,1,2,15,2
6,5,5,30,6,30,1329,9,1,1,20,2
6,5,5,30,6,30,1329,9,1,1,20,2
0,3,12,62,6,30,1783,9,1,1,16,2
3,4,17,70,3,30,998,9,1,1,17,2
3,5,8,30,2,30,1587,1,1,1,9,2
6,3,6,48,4,30,998,5,1,1,15,2
0,3,13,18,1,40,1124,9,2,2,5,2
3,4,8,33,4,30,1587,5,1,2,12,2
3,3,8,62,2,30,1587,1,1,1,17,2
3,3,4,36,5,30,1329,9,1,1,8,2
3,3,4,36,5,30,1329,9,1,1,8,2
0,3,14,25,4,40,998,9,1,2,8,2
0,3,3,64,1,30,123,3,1,1,14,2
3,5,8,21,5,30,1587,2,1,1,14,2
8,3,11,30,6,40,1339,9,1,1,16,2
8,3,12,18,6,40,1587,9,1,1,16,2
3,4,8,30,3,30,1587,9,1,1,12,2
0,3,8,37,7,30,1587,9,1,1,2,2
6,3,8,47,3,30,1587,1,1,1,20,2
6,3,1,44,5,30,999,5,1,1,20,2
3,4,10,25,3,30,1598,9,1,1,9,2
3,4,8,40,3,30,1596,9,1,1,9,2
0,6,8,50,4,30,49,2,1,1,7,2
6,3,2,27,6,30,124,3,1,1,19,2
1,3,8,23,4,40,125,4,2,1,6,2
3,3,5,40,3,30,1461,9,1,1,16,2
3,3,5,40,3,30,1461,9,1,1,16,2
3,5,8,24,1,30,1587,1,1,1,14,2
3,3,8,21,7,40,1587,5,1,1,14,2
6,3,8,37,5,30,1587,9,1,2,20,2
3,6,1,33,5,30,1956,8,1,1,3,2
3,3,1,28,3,30,1995,9,1,1,20,2
3,3,3,30,7,30,1686,9,1,2,2,2
1,3,8,35,5,40,1587,1,2,2,6,2
0,4,8,37,2,30,1587,9,1,1,23,2
3,3,12,28,3,30,998,9,1,1,14,2
6,6,8,43,7,30,1587,5,1,1,13,2
3,3,8,64,3,40,1587,1,1,1,9,2
3,6,3,54,4,30,1248,9,1,1,11,2
0,3,8,76,5,40,1799,9,1,1,11,2
0,3,8,76,5,40,1799,9,1,1,11,2
3,3,24,50,5,30,592,5,1,1,12,2
3,5,12,53,6,30,1598,9,1,1,14,2
0,4,8,61,3,30,1587,1,1,1,15,2
6,6,8,47,4,30,1587,1,1,2,18,2
3,4,7,28,2,30,124,3,1,1,7,2
0,3,10,20,5,60,1229,9,2,1,23,2
0,3,10,20,5,60,1229,9,2,1,23,2
0,3,10,20,5,60,1229,9,2,1,23,2
0,3,10,20,5,60,1229,9,2,1,23,2
8,6,11,23,3,30,124,3,1,1,12,2
0,6,3,40,6,30,1995,19,1,2,5,2
6,3,1,44,6,30,1043,5,1,2,6,2
0,4,2,20,5,30,124,3,1,2,17,2
0,4,2,20,5,30,124,3,1,2,17,2
0,3,6,46,6,30,1999,9,1,2,1,2
0,3,8,32,2,30,1587,8,1,2,20,2
2,5,10,29,2,30,1896,9,1,2,21,2
0,6,8,35,6,30,1587,9,1,2,9,2
3,5,1,61,3,30,1364,9,1,2,16,2
3,3,8,21,6,40,1995,9,1,2,22,2
3,3,8,21,6,40,1995,9,1,2,22,2
3,3,8,21,6,40,1995,9,1,2,22,2
0,6,13,30,2,30,1896,9,1,1,11,2
3,6,8,42,5,30,1587,1,1,1,10,2
3,3,5,40,6,30,1229,9,1,2,17,2
3,3,5,40,6,30,1229,9,1,2,17,2
6,4,8,56,1,30,1910,9,1,2,17,2
6,4,5,19,1,30,124,3,1,2,17,2
6,4,8,32,1,30,1587,1,1,4,6,2
0,6,2,52,2,30,1997,9,1,1,15,2
3,5,8,24,2,30,1984,9,1,1,15,2
3,5,13,24,2,30,1598,9,1,1,15,2
3,5,5,66,2,30,1598,9,1,1,15,2
3,5,5,66,2,30,1598,9,1,1,15,2
0,3,13,41,4,30,1794,9,1,1,16,2
3,4,15,32,3,30,1998,9,1,2,20,2
3,6,8,86,3,30,1587,1,1,1,16,2
0,5,7,46,3,30,1995,19,1,1,19,2
3,4,12,31,3,30,955,4,1,1,8,2
6,5,11,21,3,30,1598,9,1,2,11,2
6,5,11,21,3,30,1598,9,1,2,11,2
6,5,12,20,3,30,2792,9,1,2,11,2
6,5,12,20,3,30,2792,9,1,2,11,2
6,5,12,20,3,30,2792,9,1,2,11,2
6,5,6,37,3,30,2198,19,1,2,11,2
6,3,10,58,6,30,3498,9,1,1,20,2
6,3,8,76,6,30,1995,9,1,1,20,2
6,3,8,76,6,30,1995,9,1,1,20,2
6,3,8,76,6,30,1995,9,1,1,20,2
6,3,8,76,6,30,1995,9,1,1,20,2
6,3,3,76,7,50,1332,9,1,1,23,2
0,3,19,37,1,40,749,5,2,1,14,2
3,3,12,54,1,30,899,5,1,1,20,2
8,3,7,40,6,30,645,5,1,1,19,2
0,5,13,32,4,60,1596,9,2,2,9,2
3,4,8,51,5,40,1587,5,2,1,15,2
0,6,8,20,7,30,1242,9,1,1,20,2
3,5,3,16,7,30,49,2,1,1,21,2
3,5,3,16,7,30,49,2,1,1,21,2
0,3,7,20,3,30,1248,9,2,2,5,2
0,3,7,20,3,30,1248,9,2,2,5,2
3,4,18,50,3,30,748,5,1,1,13,2
0,3,8,37,7,30,1587,5,1,1,12,2
1,3,4,82,7,30,998,9,1,1,23,2
0,3,9,31,1,30,1242,9,2,1,0,2
0,3,9,31,1,30,1242,9,2,1,0,2
0,3,23,30,7,30,1997,9,1,1,3,2
0,3,23,30,7,30,1997,9,1,1,3,2
6,3,8,48,4,40,1587,1,1,1,23,2
0,3,8,29,3,30,1587,3,1,1,18,2
0,5,13,18,1,60,1149,9,2,2,8,2
1,3,8,65,3,30,1587,1,1,1,9,2
3,3,8,17,6,30,1587,3,1,1,16,2
6,5,7,35,5,30,1596,9,1,1,9,2
6,5,8,12,3,30,1587,1,1,1,15,2
3,5,7,59,3,30,124,3,1,1,18,2
0,4,8,36,6,30,1499,9,1,1,8,2
1,3,8,30,6,60,1587,1,2,2,6,2
2,3,8,40,5,30,1587,1,1,2,7,2
3,3,5,46,2,30,1995,19,1,1,17,2
0,4,8,30,5,30,1587,3,1,2,13,2
2,5,8,29,3,30,1587,1,1,2,18,2
6,6,4,32,4,30,1968,9,1,2,20,2
3,6,8,24,5,30,125,3,1,2,11,2
3,3,8,30,6,30,1587,9,1,2,18,2
6,6,8,57,7,20,1332,9,1,2,17,2
1,3,8,39,5,30,1587,9,1,2,21,2
1,3,8,39,5,30,1587,9,1,2,21,2
8,6,6,47,5,30,1596,9,1,1,17,2
3,3,1,25,4,30,125,3,1,1,8,2
0,5,13,74,2,30,1299,9,1,2,10,2
3,4,8,60,3,30,1587,9,1,1,8,2
3,4,6,29,3,30,1206,9,1,1,8,2
3,4,8,42,3,30,1587,9,1,1,8,2
0,4,14,21,3,30,1242,9,2,2,17,2
3,3,10,36,6,30,100,3,1,1,18,2
8,3,6,51,6,30,1995,9,1,1,13,2
8,3,10,28,6,30,1364,9,1,1,13,2
0,6,6,18,3,30,998,9,1,2,13,2
7,6,1,16,5,30,50,2,1,2,18,2
3,6,9,59,4,30,1086,9,1,2,17,2
0,3,8,17,4,30,1587,9,1,2,10,2
0,3,8,17,4,30,1587,9,1,2,10,2
2,3,18,39,7,30,498,4,1,2,19,2
0,3,1,33,2,30,1198,9,1,2,7,2
3,3,8,42,6,30,1587,1,1,1,7,2
3,4,8,31,7,30,4197,9,2,1,23,2
3,3,13,44,4,30,1598,9,1,1,15,2
3,4,8,45,4,30,1587,1,1,2,17,2
8,4,2,44,7,30,124,3,1,1,13,2
8,3,8,30,6,30,1587,5,1,1,12,2
